,Component,Dimension,Weights
32,0,Form,0.3340716039857122
28,0,Weight,0.3283236794925396
42,0,Texture,0.32811382125535027
18,0,Value,0.3007421418392269
6,0,Scent,0.29914271051025004
8,0,Flavor,0.28129610387520554
2,0,Temperature,0.2325756128151087
34,0,Color,0.23142195372318825
24,0,Affect,0.21719952542652715
0,0,Size,0.21641727348811496
20,0,Knowledge,0.1846194824254387
22,0,Shape,0.18459336516788316
26,0,Mood,0.17666361794650995
12,0,Stability,0.1634382604841931
36,0,Light,0.15146450981254486
4,0,Tension,0.12785207748454983
38,0,Surroundings,0.12651752113229817
14,0,Motor,0.1215490554510875
16,0,Function,0.11192098516959323
10,0,Sound,0.0513873794513043
30,0,Position,0.0077588433180303855
40,0,Location,-0.02906723390764408
13,1,Stability,0.36549100858823164
31,1,Position,0.349728236826225
23,1,Shape,0.342883972377911
5,1,Tension,0.3384644133500075
1,1,Size,0.30490987663582425
15,1,Motor,0.2556487532183365
17,1,Function,0.2000664292921551
41,1,Location,0.1862684496651834
11,1,Sound,0.08835488505746956
29,1,Weight,0.06731143328565838
19,1,Value,0.027590709046133175
43,1,Texture,0.01073836682502839
39,1,Surroundings,-0.025412738602602247
21,1,Knowledge,-0.04582290897704085
33,1,Form,-0.051225015714949945
25,1,Affect,-0.11437863680229719
27,1,Mood,-0.14205628129879952
9,1,Flavor,-0.14423605778853363
3,1,Temperature,-0.19071231411237324
7,1,Scent,-0.19088875331076258
37,1,Light,-0.2225180612828516
35,1,Color,-0.28975172568614416
